,RecordID,StateCode,LabelerCode,ProductCode,PackageSize,PeriodCovered,FDAListName,UnitsReimbursed,NumberRx,TotalAmountReimbursed,MedicaidAmountReimbursed,Non-MedicaidAmountReimbursed
12345,FFSU,XX,93.0,155.0,10.0,20131.0,TOPIRAMATE,1193221.5,14404.0,169065.51,160083.71,8981.8
12346,FFSU,XX,93.0,155.0,10.0,20132.0,TOPIRAMATE,291382.501,3809.0,45027.26,43369.39,1657.87
12347,FFSU,XX,93.0,155.0,10.0,20133.0,TOPIRAMATE,110864.0,1475.0,18762.02,18137.87,624.15
12348,FFSU,XX,93.0,155.0,10.0,20134.0,TOPIRAMATE,80083.0,1051.0,13363.47,12867.04,496.43
24035,FFSU,XX,186.0,155.0,1.0,20131.0,XYLOCAINE ,12.0,11.0,10.93,8.38,2.55
24036,FFSU,XX,186.0,155.0,1.0,20132.0,XYLOCAINE ,13.5,20.0,26.62,26.62,0.0
24037,FFSU,XX,186.0,155.0,1.0,20133.0,XYLOCAINE ,3.5,4.0,19.73,19.73,0.0
24038,FFSU,XX,186.0,155.0,1.0,20134.0,XYLOCAINE ,4.0,3.0,13.51,13.51,0.0
25888,FFSU,XX,245.0,155.0,60.0,20131.0,FOLGARD OS,5071.0,98.0,2120.17,2062.17,58.0
25889,FFSU,XX,245.0,155.0,60.0,20132.0,FOLGARD OS,4660.0,99.0,2100.42,2052.42,48.0
25890,FFSU,XX,245.0,155.0,60.0,20133.0,FOLGARD OS,4576.0,100.0,1993.38,1932.88,60.5
25891,FFSU,XX,245.0,155.0,60.0,20134.0,FOLGARD OS,4059.0,93.0,1719.0,1667.4,51.6
37519,FFSU,XX,472.0,155.0,60.0,20131.0,NYSTATIN-T,60.0,1.0,17.18,17.18,0.0
38059,FFSU,XX,485.0,155.0,16.0,20131.0,ED A-HIST ,62880.0,556.0,6931.18,6674.91,256.27
38060,FFSU,XX,485.0,155.0,16.0,20132.0,ED A-HIST ,32592.0,238.0,3124.37,2977.78,146.59
38061,FFSU,XX,485.0,155.0,16.0,20133.0,ED A-HIST ,29933.0,214.0,2934.8,2751.91,182.89
38062,FFSU,XX,485.0,155.0,16.0,20134.0,ED A-HIST ,6862.0,53.0,663.35,634.09,29.26
57745,FFSU,XX,10019.0,155.0,68.0,20131.0,MEPERIDINE,20.0,3.0,8.95,8.95,0.0
57746,FFSU,XX,10019.0,155.0,68.0,20132.0,MEPERIDINE,16.0,4.0,7.16,7.16,0.0
60005,FFSU,XX,13107.0,155.0,5.0,20131.0,PAROXETINE,26724.0,790.0,8685.31,8063.58,621.73
60006,FFSU,XX,13107.0,155.0,5.0,20132.0,PAROXETINE,37097.0,1085.0,12253.81,11471.23,782.58
60007,FFSU,XX,13107.0,155.0,5.0,20133.0,PAROXETINE,39481.0,1137.0,11655.62,11148.45,507.17
60008,FFSU,XX,13107.0,155.0,5.0,20134.0,PAROXETINE,46138.0,1319.0,12304.72,11537.22,767.5
60009,FFSU,XX,13107.0,155.0,30.0,20131.0,PAROXETINE,420418.501,12554.0,110765.69,103095.34,7670.35
60010,FFSU,XX,13107.0,155.0,30.0,20132.0,PAROXETINE,422718.5,12701.0,114507.87,106874.93,7632.94
60011,FFSU,XX,13107.0,155.0,30.0,20133.0,PAROXETINE,425715.5,12729.0,111174.03,104290.54,6883.49
60012,FFSU,XX,13107.0,155.0,30.0,20134.0,PAROXETINE,399645.5,11884.0,101235.57,94271.27,6964.3
60013,FFSU,XX,13107.0,155.0,99.0,20131.0,PAROXETINE,244836.5,7281.0,71834.0,66250.37,5583.63
60014,FFSU,XX,13107.0,155.0,99.0,20132.0,PAROXETINE,244460.5,7245.0,71649.39,66326.91,5322.48
60015,FFSU,XX,13107.0,155.0,99.0,20133.0,PAROXETINE,243409.5,7195.0,73026.83,68555.34,4471.49
60016,FFSU,XX,13107.0,155.0,99.0,20134.0,PAROXETINE,227181.5,6547.0,63553.6,59245.42,4308.18
71701,FFSU,XX,38779.0,155.0,4.0,20131.0,PRILOCAINE,416.634,38.0,3498.38,3495.33,3.05
71702,FFSU,XX,38779.0,155.0,4.0,20132.0,PRILOCAINE,911.508,78.0,14189.7,14177.03,12.67
71703,FFSU,XX,38779.0,155.0,4.0,20133.0,PRILOCAINE,223.68,20.0,3482.51,3479.3,3.21
71704,FFSU,XX,38779.0,155.0,5.0,20131.0,PRILOCAINE,2.0,1.0,5.89,5.89,0.0
71705,FFSU,XX,38779.0,155.0,5.0,20134.0,PRILOCAINE,5.4,3.0,84.42,84.42,0.0
74369,FFSU,XX,42546.0,155.0,50.0,20131.0,EMULSION S,200.0,4.0,148.67,120.78,27.89
74370,FFSU,XX,42546.0,155.0,50.0,20132.0,EMULSION S,200.0,4.0,139.34,109.04,30.3
74371,FFSU,XX,42546.0,155.0,50.0,20133.0,EMULSION S,350.0,5.0,287.21,287.21,0.0
74372,FFSU,XX,42546.0,155.0,50.0,20134.0,EMULSION S,750.0,8.0,722.7,722.7,0.0
74373,FFSU,XX,42546.0,155.0,52.0,20131.0,EMULSION S,350.0,4.0,220.37,220.37,0.0
74374,FFSU,XX,42546.0,155.0,52.0,20132.0,EMULSION S,100.0,1.0,62.72,62.72,0.0
74375,FFSU,XX,42546.0,155.0,52.0,20134.0,EMULSION S,100.0,1.0,62.72,62.72,0.0
74376,FFSU,XX,42546.0,155.0,90.0,20131.0,EMULSION S,8820.0,85.0,6181.06,6181.06,0.0
74377,FFSU,XX,42546.0,155.0,90.0,20132.0,EMULSION S,7200.0,77.0,5024.37,4966.13,58.24
74378,FFSU,XX,42546.0,155.0,90.0,20133.0,EMULSION S,7920.0,80.0,5515.05,5334.47,180.58
74379,FFSU,XX,42546.0,155.0,90.0,20134.0,EMULSION S,8190.0,87.0,5734.27,5510.09,224.18
77031,FFSU,XX,45945.0,155.0,1.0,20131.0,GABLOFEN 1,40.0,1.0,490.43,487.43,3.0
77032,FFSU,XX,45945.0,155.0,1.0,20132.0,GABLOFEN 1,206.0,13.0,2701.69,1917.5,784.19
77033,FFSU,XX,45945.0,155.0,1.0,20133.0,GABLOFEN 1,315.0,16.0,3606.22,2884.09,722.13
77034,FFSU,XX,45945.0,155.0,1.0,20134.0,GABLOFEN 1,882.0,38.0,9144.12,7581.15,1562.97
77035,FFSU,XX,45945.0,155.0,2.0,20131.0,GABLOFEN 5,4598.0,154.0,44219.52,38802.08,5417.44
77036,FFSU,XX,45945.0,155.0,2.0,20132.0,GABLOFEN 5,3101.48,132.0,25939.36,22259.48,3679.88
77037,FFSU,XX,45945.0,155.0,2.0,20133.0,GABLOFEN 5,4539.5,128.0,34569.03,28445.42,6123.61
77038,FFSU,XX,45945.0,155.0,2.0,20134.0,GABLOFEN 5,3617.0,143.0,35315.95,26789.07,8526.88
78858,FFSU,XX,49348.0,155.0,29.0,20131.0,SM ANTIFUN,930.0,38.0,281.99,274.34,7.65
78859,FFSU,XX,49348.0,155.0,29.0,20132.0,SM ANTIFUN,810.0,36.0,245.6,237.45,8.15
78860,FFSU,XX,49348.0,155.0,29.0,20133.0,SM ANTIFUN,1110.0,49.0,321.11,305.31,15.8
78861,FFSU,XX,49348.0,155.0,29.0,20134.0,SM ANTIFUN,1230.0,48.0,331.63,315.83,15.8
84804,FFSU,XX,51079.0,155.0,20.0,20131.0,OLANZAPINE,406.0,13.0,308.54,302.54,6.0
84805,FFSU,XX,51079.0,155.0,20.0,20132.0,OLANZAPINE,346.0,18.0,325.87,325.87,0.0
84806,FFSU,XX,51079.0,155.0,20.0,20133.0,OLANZAPINE,479.0,17.0,337.7,337.7,0.0
84807,FFSU,XX,51079.0,155.0,20.0,20134.0,OLANZAPINE,316.0,12.0,219.34,219.34,0.0
87407,FFSU,XX,51224.0,155.0,50.0,20131.0,MEPERIDINE,694.0,20.0,345.12,320.13,24.99
87408,FFSU,XX,51224.0,155.0,50.0,20132.0,MEPERIDINE,97.0,4.0,50.5,48.0,2.5
87409,FFSU,XX,51224.0,155.0,50.0,20133.0,MEPERIDINE,31.0,2.0,20.9,19.9,1.0
89317,FFSU,XX,51991.0,155.0,1.0,20131.0,VINATE-M T,43766.0,1266.0,12046.71,11842.91,203.8
89318,FFSU,XX,51991.0,155.0,1.0,20132.0,VINATE-M T,47168.0,1282.0,12882.66,12700.38,182.28
89319,FFSU,XX,51991.0,155.0,1.0,20133.0,VINATE-M T,43275.0,1228.0,12200.5,12094.95,105.55
89320,FFSU,XX,51991.0,155.0,1.0,20134.0,VINATE-M T,29110.0,776.0,7774.49,7682.74,91.75
94212,FFSU,XX,55390.0,155.0,1.0,20131.0,CARBOPLATI,695.0,200.0,15698.84,2041.51,13657.33
94213,FFSU,XX,55390.0,155.0,1.0,20132.0,CARBOPLATI,545.0,73.0,3816.66,550.21,3266.45
94214,FFSU,XX,55390.0,155.0,1.0,20133.0,CARBOPLATI,740.0,27.0,1981.77,337.49,1644.28
94215,FFSU,XX,55390.0,155.0,1.0,20134.0,CARBOPLATI,640.0,33.0,2996.87,320.42,2676.45
98111,FFSU,XX,59762.0,155.0,1.0,20131.0,ATORVASTAT,8037.0,255.0,4463.53,4324.23,139.3
98112,FFSU,XX,59762.0,155.0,1.0,20132.0,ATORVASTAT,104428.5,3309.0,49568.9,47166.76,2402.14
98113,FFSU,XX,59762.0,155.0,1.0,20133.0,ATORVASTAT,140903.5,4307.0,56784.56,53698.14,3086.42
98114,FFSU,XX,59762.0,155.0,1.0,20134.0,ATORVASTAT,173441.0,5146.0,64668.37,61126.95,3541.42
98115,FFSU,XX,59762.0,155.0,2.0,20131.0,ATORVASTAT,4165.0,140.0,2070.82,2034.82,36.0
98116,FFSU,XX,59762.0,155.0,2.0,20132.0,ATORVASTAT,43132.0,1417.0,18435.95,17662.84,773.11
98117,FFSU,XX,59762.0,155.0,2.0,20133.0,ATORVASTAT,64329.0,2079.0,26784.51,25853.3,931.21
98118,FFSU,XX,59762.0,155.0,2.0,20134.0,ATORVASTAT,89385.5,2816.0,36276.67,34880.85,1395.82
99393,FFSU,XX,60258.0,155.0,20.0,20131.0,SODIUM FLU,12131.0,257.0,1734.89,1734.89,0.0
99394,FFSU,XX,60258.0,155.0,20.0,20132.0,SODIUM FLU,7554.0,168.0,1140.63,1140.63,0.0
99395,FFSU,XX,60258.0,155.0,20.0,20133.0,SODIUM FLU,390.0,7.0,32.29,32.29,0.0
102858,FFSU,XX,60977.0,155.0,1.0,20131.0,ROBINUL 0.,5937.0,22.0,7668.18,7661.52,6.66
102859,FFSU,XX,60977.0,155.0,1.0,20132.0,ROBINUL 0.,7846.0,18.0,10251.28,10251.28,0.0
102860,FFSU,XX,60977.0,155.0,1.0,20133.0,ROBINUL 0.,2390.0,6.0,3132.36,3132.36,0.0
102861,FFSU,XX,60977.0,155.0,1.0,20134.0,ROBINUL   ,721.0,3.0,937.88,937.88,0.0
102862,FFSU,XX,60977.0,155.0,2.0,20131.0,ROBINUL 0.,24.0,15.0,66.49,66.49,0.0
102863,FFSU,XX,60977.0,155.0,2.0,20132.0,ROBINUL 0.,284.0,4.0,238.95,238.95,0.0
102864,FFSU,XX,60977.0,155.0,2.0,20133.0, ROBINUL 0,3.0,2.0,17.06,17.06,0.0
102865,FFSU,XX,60977.0,155.0,2.0,20134.0, ROBINUL 0,1.0,1.0,5.22,5.22,0.0
102866,FFSU,XX,60977.0,155.0,3.0,20131.0,ROBINUL 0.,812.0,54.0,1841.95,1841.95,0.0
102867,FFSU,XX,60977.0,155.0,3.0,20132.0,ROBINUL 0.,1125.0,12.0,2145.67,2145.67,0.0
102868,FFSU,XX,60977.0,155.0,3.0,20133.0,ROBINUL 0.,426.0,15.0,330.71,330.71,0.0
102869,FFSU,XX,60977.0,155.0,3.0,20134.0,ROBINUL 0.,735.0,5.0,383.15,383.15,0.0
102870,FFSU,XX,60977.0,155.0,6.0,20131.0,ROBINUL 0.,4414.0,21.0,2157.39,1926.65,230.74
102871,FFSU,XX,60977.0,155.0,6.0,20132.0,ROBINUL 0.,2565.0,9.0,845.24,820.62,24.62
102872,FFSU,XX,60977.0,155.0,6.0,20133.0,ROBINUL 0.,7.0,3.0,125.36,125.36,0.0
102873,FFSU,XX,60977.0,155.0,54.0,20132.0,ROBINUL 0.,5.0,5.0,16.4,16.4,0.0
102874,FFSU,XX,60977.0,155.0,54.0,20133.0,ROBINUL 0.,5.0,5.0,15.56,15.56,0.0
102875,FFSU,XX,60977.0,155.0,81.0,20131.0,ROBINUL 0.,1.0,1.0,0.64,0.64,0.0
102876,FFSU,XX,60977.0,155.0,81.0,20134.0,ROBINUL 0.,1.0,1.0,2.46,2.46,0.0
105313,FFSU,XX,62175.0,155.0,37.0,20131.0,METHYLPHEN,25797.0,823.0,203277.55,183696.8,19580.75
105314,FFSU,XX,62175.0,155.0,37.0,20132.0,METHYLPHEN,28236.0,905.0,223072.83,203056.55,20016.28
105315,FFSU,XX,62175.0,155.0,37.0,20133.0,METHYLPHEN,27801.0,892.0,220776.93,199903.37,20873.56
105316,FFSU,XX,62175.0,155.0,37.0,20134.0,METHYLPHEN,33162.0,1063.0,256832.21,236406.42,20425.79
110321,FFSU,XX,63739.0,155.0,10.0,20131.0,LORAZEPAM ,1001.55,427.0,1384.47,1384.47,0.0
110322,FFSU,XX,63739.0,155.0,10.0,20132.0,LORAZEPAM ,753.0,338.0,933.22,929.57,3.65
110323,FFSU,XX,63739.0,155.0,10.0,20133.0,LORAZEPAM ,672.0,308.0,850.21,850.21,0.0
110324,FFSU,XX,63739.0,155.0,10.0,20134.0,LORAZEPAM ,692.02,279.0,1361.03,1361.03,0.0
110325,FFSU,XX,63739.0,155.0,15.0,20131.0,LORAZEPAM ,34.0,31.0,161.56,161.56,0.0
110326,FFSU,XX,63739.0,155.0,15.0,20132.0,LORAZEPAM ,27.0,26.0,104.5,104.5,0.0
110327,FFSU,XX,63739.0,155.0,15.0,20133.0,LORAZEPAM ,24.0,22.0,84.54,84.54,0.0
110328,FFSU,XX,63739.0,155.0,15.0,20134.0,LORAZEPAM ,22.0,15.0,47.05,47.05,0.0
112653,FFSU,XX,64679.0,155.0,2.0,20131.0,ROPINIROLE,27131.0,539.0,9968.99,9607.84,361.15
112654,FFSU,XX,64679.0,155.0,2.0,20132.0,ROPINIROLE,31841.0,643.0,12066.35,11721.01,345.34
112655,FFSU,XX,64679.0,155.0,2.0,20133.0,ROPINIROLE,21268.0,430.0,7215.78,6960.15,255.63
112656,FFSU,XX,64679.0,155.0,2.0,20134.0,ROPINIROLE,6256.0,137.0,2236.64,2153.28,83.36
112657,FFSU,XX,64679.0,155.0,3.0,20131.0,ROPINIROLE,105916.0,2212.0,37314.15,34542.59,2771.56
112658,FFSU,XX,64679.0,155.0,3.0,20132.0,ROPINIROLE,109358.0,2277.0,37265.57,34783.07,2482.5
112659,FFSU,XX,64679.0,155.0,3.0,20133.0,ROPINIROLE,100923.0,2116.0,35120.42,33013.63,2106.79
112660,FFSU,XX,64679.0,155.0,3.0,20134.0,ROPINIROLE,40361.0,903.0,14435.59,13738.14,697.45
113729,FFSU,XX,64764.0,155.0,18.0,20131.0,ACTOPLUS M,388.0,7.0,1853.87,1844.87,9.0
113730,FFSU,XX,64764.0,155.0,18.0,20132.0,ACTOPLUS M,240.0,4.0,1132.91,1132.91,0.0
113731,FFSU,XX,64764.0,155.0,18.0,20133.0,ACTOPLUS M,360.0,6.0,1693.24,1693.24,0.0
113732,FFSU,XX,64764.0,155.0,18.0,20134.0,ACTOPLUS M,420.0,5.0,1944.28,1944.28,0.0
113733,FFSU,XX,64764.0,155.0,60.0,20131.0,ACTOPLUS M,50043.0,849.0,265533.81,262377.02,3156.79
113734,FFSU,XX,64764.0,155.0,60.0,20132.0,ACTOPLUS M,35336.0,595.0,184358.49,182932.71,1425.78
113735,FFSU,XX,64764.0,155.0,60.0,20133.0,ACTOPLUS M,22171.0,377.0,121450.83,120992.69,458.14
113736,FFSU,XX,64764.0,155.0,60.0,20134.0,ACTOPLUS M,14719.0,248.0,82879.69,82240.89,638.8
116082,FFSU,XX,65862.0,155.0,5.0,20131.0,PAROXETINE,1508.0,46.0,509.2,495.2,14.0
116083,FFSU,XX,65862.0,155.0,5.0,20132.0,PAROXETINE,1427.0,46.0,473.78,457.78,16.0
116084,FFSU,XX,65862.0,155.0,5.0,20133.0,PAROXETINE,1527.0,44.0,491.67,477.44,14.23
116085,FFSU,XX,65862.0,155.0,5.0,20134.0,PAROXETINE,1343.0,41.0,414.31,392.87,21.44
116086,FFSU,XX,65862.0,155.0,30.0,20131.0,PAROXETINE,3990.0,124.0,1335.31,1238.48,96.83
116087,FFSU,XX,65862.0,155.0,30.0,20132.0,PAROXETINE,4600.0,129.0,1527.87,1419.24,108.63
116088,FFSU,XX,65862.0,155.0,30.0,20133.0,PAROXETINE,4388.0,129.0,1413.79,1342.89,70.9
116089,FFSU,XX,65862.0,155.0,30.0,20134.0,PAROXETINE,4572.0,133.0,1144.04,1054.28,89.76
116090,FFSU,XX,65862.0,155.0,99.0,20131.0,PAROXETINE,8355.0,270.0,2577.68,2465.91,111.77
116091,FFSU,XX,65862.0,155.0,99.0,20132.0,PAROXETINE,6254.0,195.0,1948.86,1855.97,92.89
116092,FFSU,XX,65862.0,155.0,99.0,20133.0,PAROXETINE,5159.0,163.0,1714.31,1631.59,82.72
116093,FFSU,XX,65862.0,155.0,99.0,20134.0,PAROXETINE,4743.0,138.0,1424.53,1351.79,72.74
121023,FFSU,XX,68084.0,155.0,1.0,20131.0,PROMETHAZI,1369.476,404.0,4147.69,4124.82,22.87
121024,FFSU,XX,68084.0,155.0,1.0,20132.0,PROMETHAZI,1161.0,226.0,2391.91,2391.91,0.0
121025,FFSU,XX,68084.0,155.0,1.0,20133.0,PROMETHAZI,1094.001,198.0,1429.76,1429.76,0.0
121026,FFSU,XX,68084.0,155.0,1.0,20134.0,PROMETHAZI,1936.0,177.0,2459.88,2459.32,0.56
121027,FFSU,XX,68084.0,155.0,11.0,20131.0,PROMETHAZI,27.0,21.0,42.15,42.15,0.0
121028,FFSU,XX,68084.0,155.0,11.0,20132.0,PROMETHAZI,33.5,10.0,55.87,55.87,0.0
121029,FFSU,XX,68084.0,155.0,11.0,20133.0,PROMETHAZI,38.0,11.0,30.51,30.51,0.0
121030,FFSU,XX,68084.0,155.0,11.0,20134.0,PROMETHAZI,1031.0,12.0,73.42,73.42,0.0
124953,FFSU,XX,68382.0,155.0,6.0,20131.0,RISPERIDON,48783.0,926.0,134313.45,128385.08,5928.37
124954,FFSU,XX,68382.0,155.0,6.0,20132.0,RISPERIDON,49326.0,945.0,138145.11,130879.61,7265.5
124955,FFSU,XX,68382.0,155.0,6.0,20133.0,RISPERIDON,56597.0,1106.0,149369.2,141452.76,7916.44
124956,FFSU,XX,68382.0,155.0,6.0,20134.0,RISPERIDON,75737.00099999999,1416.0,194736.11,183068.69,11667.42
135738,MCOU,XX,69.0,155.0,1.0,20131.0,CYTARABINE,24.0,3.0,59.55,39.7,19.85
135739,MCOU,XX,69.0,155.0,1.0,20132.0,CYTARABINE,3.0,3.0,10.83,10.83,0.0
135740,MCOU,XX,69.0,155.0,1.0,20133.0,CYTARABINE,8.0,4.0,86.39,46.29,40.1
136210,MCOU,XX,71.0,155.0,23.0,20131.0,LIPITOR 10,11271.755,320.0,36242.54,34321.08,1921.46
136211,MCOU,XX,71.0,155.0,23.0,20132.0,LIPITOR 10,8323.0,253.0,28444.72,26790.21,1654.51
136212,MCOU,XX,71.0,155.0,23.0,20133.0,LIPITOR 10,3653.0,120.0,18098.79,17077.89,1020.9
136213,MCOU,XX,71.0,155.0,23.0,20134.0,LIPITOR 10,5704.0,187.0,20596.63,19753.58,843.05
136214,MCOU,XX,71.0,155.0,34.0,20131.0,LIPITOR 10,60.0,2.0,238.27,235.27,3.0
136215,MCOU,XX,71.0,155.0,34.0,20132.0,LIPITOR 10,30.0,1.0,133.64,130.64,3.0
136216,MCOU,XX,71.0,155.0,34.0,20133.0,LIPITOR 10,30.0,1.0,145.4,142.4,3.0
136217,MCOU,XX,71.0,155.0,34.0,20134.0,LIPITOR 10,60.0,2.0,290.8,284.8,6.0
136218,MCOU,XX,71.0,155.0,40.0,20131.0,LIPITOR 10,25.0,17.0,6205.79,6192.72,13.07
136219,MCOU,XX,71.0,155.0,40.0,20132.0,LIPITOR 10,127.0,26.0,9931.33,9911.05,20.28
136220,MCOU,XX,71.0,155.0,40.0,20133.0,LIPITOR 10,122.0,30.0,7043.5,7023.82,19.68
136221,MCOU,XX,71.0,155.0,40.0,20134.0,LIPITOR 10,52.0,22.0,35.66,32.36,3.3
139727,MCOU,XX,93.0,155.0,6.0,20131.0,TOPIRAMATE,112363.59800000001,1305.0,13729.04,13590.64,138.4
139728,MCOU,XX,93.0,155.0,6.0,20132.0,TOPIRAMATE,90560.0,1269.0,11368.78,11194.16,174.62
139729,MCOU,XX,93.0,155.0,6.0,20133.0,TOPIRAMATE,82462.94,1221.0,9990.97,9764.76,226.21
139730,MCOU,XX,93.0,155.0,6.0,20134.0,TOPIRAMATE,86181.478,1252.0,10575.38,10453.94,121.44
139731,MCOU,XX,93.0,155.0,10.0,20131.0,TOPIRAMATE,708131.075,9577.0,114849.63,112630.27,2219.36
139732,MCOU,XX,93.0,155.0,10.0,20132.0,TOPIRAMATE,218446.00100000002,3232.0,35619.97,34525.2,1094.77
139733,MCOU,XX,93.0,155.0,10.0,20133.0,TOPIRAMATE,102027.776,1476.0,16784.44,16472.04,312.4
139734,MCOU,XX,93.0,155.0,10.0,20134.0,TOPIRAMATE,87756.26800000001,1250.0,16913.52,16605.24,308.28
151736,MCOU,XX,186.0,155.0,1.0,20131.0,XYLOCAINE ,9.0,7.0,4207.13,4207.05,0.08
151737,MCOU,XX,186.0,155.0,1.0,20132.0,XYLOCAINE ,2.5,3.0,1317.28,1317.28,0.0
151738,MCOU,XX,186.0,155.0,1.0,20133.0,XYLOCAINE ,6.5,7.0,1429.44,1429.44,0.0
151739,MCOU,XX,186.0,155.0,1.0,20134.0,XYLOCAINE ,3.0,6.0,1.95,1.95,0.0
153676,MCOU,XX,245.0,155.0,60.0,20131.0,FOLGARD OS,9890.0,199.0,4129.6,4082.32,47.28
153677,MCOU,XX,245.0,155.0,60.0,20132.0,FOLGARD OS,5188.0,103.0,2645.97,2141.84,504.13
153678,MCOU,XX,245.0,155.0,60.0,20133.0,FOLGARD OS,9818.0,194.0,4303.43,4259.63,43.8
153679,MCOU,XX,245.0,155.0,60.0,20134.0,FOLGARD OS,9662.0,196.0,4132.79,4132.79,0.0
155901,MCOU,XX,378.0,155.0,5.0,20131.0,PROPOXYPH-,248.0,8.0,44.5,44.5,0.0
155902,MCOU,XX,378.0,155.0,5.0,20133.0,PROPOXYPH-,75.0,2.0,12.87,10.87,2.0
165413,MCOU,XX,485.0,155.0,16.0,20131.0,ED A-HIST ,17320.0,126.0,943.98,766.98,177.0
165414,MCOU,XX,485.0,155.0,16.0,20132.0,ED A-HIST ,9690.0,68.0,516.69,430.69,86.0
165415,MCOU,XX,485.0,155.0,16.0,20133.0,ED A-HIST ,8518.0,55.0,444.62,372.62,72.0
165416,MCOU,XX,485.0,155.0,16.0,20134.0,ED A-HIST ,13516.0,89.0,700.89,580.89,120.0
187300,MCOU,XX,13107.0,155.0,5.0,20131.0,PAROXETINE,31910.91,913.0,7111.58,6878.49,233.09
187301,MCOU,XX,13107.0,155.0,5.0,20132.0,PAROXETINE,38131.001000000004,1140.0,8777.49,8605.43,172.06
187302,MCOU,XX,13107.0,155.0,5.0,20133.0,PAROXETINE,40982.0,1224.0,9068.01,8947.01,121.0
187303,MCOU,XX,13107.0,155.0,5.0,20134.0,PAROXETINE,43129.0,1306.0,9741.79,9456.49,285.3
187304,MCOU,XX,13107.0,155.0,30.0,20131.0,PAROXETINE,412834.899,12235.0,104764.64,101476.09,3288.55
187305,MCOU,XX,13107.0,155.0,30.0,20132.0,PAROXETINE,402944.00200000004,12431.0,102354.24,100112.13,2242.11
187306,MCOU,XX,13107.0,155.0,30.0,20133.0,PAROXETINE,397867.929,12293.0,96700.46,94624.46,2076.0
187307,MCOU,XX,13107.0,155.0,30.0,20134.0,PAROXETINE,386311.851,11971.0,100309.61,97672.6,2637.01
187308,MCOU,XX,13107.0,155.0,99.0,20131.0,PAROXETINE,226612.1,6073.0,51944.37,51153.87,790.5
187309,MCOU,XX,13107.0,155.0,99.0,20132.0,PAROXETINE,203484.0,6101.0,49777.2,48910.54,866.66
187310,MCOU,XX,13107.0,155.0,99.0,20133.0,PAROXETINE,193050.0,5919.0,45925.57,45216.93,708.64
187311,MCOU,XX,13107.0,155.0,99.0,20134.0,PAROXETINE,180446.97,5537.0,43569.9,42344.74,1225.16
199112,MCOU,XX,38779.0,155.0,4.0,20131.0,PRILOCAINE,230.4,2.0,587.4,587.4,0.0
199113,MCOU,XX,38779.0,155.0,4.0,20132.0,PRILOCAINE,931.2,8.0,2349.6,2349.6,0.0
199114,MCOU,XX,38779.0,155.0,4.0,20133.0,PRILOCAINE,230.4,2.0,587.4,587.4,0.0
199115,MCOU,XX,38779.0,155.0,4.0,20134.0,PRILOCAINE,57.6,1.0,154.16,154.16,0.0
